year	cumulative_intensity	type_of_conflict	incompatibility	region	lag_1_intensity	lag_2_intensity	lag_1_cumulative_intensity	conflict_age	gdp_growth	gdp_per_capita	inflation	internet_users_pct	population	trade_pct_gdp	unemployment	urban_population_pct	electoral_democracy	liberal_democracy	rule_of_law	liberal_component	participatory_component	freedom_expression_altinfo	freedom_association	civil_society_participation	regional_conflict_count	regional_high_intensity_count	regional_avg_intensity	regional_conflict_count_lag1	regional_conflict_growth	country_conflict_count	country_high_intensity_count	country_avg_intensity	country_conflict_count_lag1	country_high_intensity_lag1	country_conflict_growth	previous_conflict_years	previous_high_intensity_years	target_escalation_next_year	actual	predicted_probability	predicted_label	error_type
2023	1	4	2	2	2	2	1	27									0.128	0.045	0.103	0.132	0.224	0.244	0.265	0.232	8	0	1	6	2	1	0	1	1	0	0	9	0	0	0	0.9378715559	1	False Positive
2013	1	3	2	4	2	2	1	31	1.955144633	1138.627808	36.52234491		37785849	26.8585245	16.273	33.4264778	0.212	0.063	0.094	0.139	0.224	0.189	0.341	0.314	12	0	1	8	4	1	0	1	1	0	0	6	0	0	0	0.9325568078	1	False Positive
2021	1	4	2	2	2	2	1	14									0.136	0.033	0.077	0.082	0.124	0.037	0.045	0.109	7	0	1	5	2	2	0	1	1	0	1	3	0	0	0	0.8870534898	1	False Positive
2024	1	4	2	2	1	2	1	28									0.126	0.047	0.105	0.139	0.23	0.243	0.257	0.264	7	0	1	8	-1	1	0	1	1	0	0	10	0	0	0	0.8742942229	1	False Positive
2018	1	4	2	4	2	1	1	16									0.306	0.117	0.279	0.239	0.512	0.656	0.457	0.653	15	0	1	13	2	2	0	1	1	0	1	7	0	0	0	0.8113672561	1	False Positive
2019	1	4	2	4	1	2	1	17									0.344	0.141	0.357	0.278	0.489	0.676	0.567	0.671	19	0	1	15	4	2	0	1	2	0	0	8	0	0	0	0.8044340759	1	False Positive
2015	1	4	2	4	2	1	1	5	-10.79336463	1080.147186	52.76633042	3	11107561	65.55134918	12.464	18.80926196	0.166	0.066	0.108	0.183	0.261	0.157	0.202	0.318	11	0	1	9	2	1	0	1	1	0	0	3	0	0	0	0.802629975	1	False Positive
2017	1	3	1	2	2	1	1	32									0.29	0.101	0.306	0.202	0.492	0.18	0.535	0.325	3	0	1	1	2	1	0	1	2	0	-1	22	0	0	0	0.7900800615	1	False Positive
2018	1	3	1	2	1	2	1	33									0.295	0.104	0.304	0.208	0.491	0.198	0.555	0.325	7	0	1	3	4	1	0	1	1	0	0	23	0	0	0	0.7875205071	1	False Positive
2020	1	3	2	4	1	2	1	36	-3.629800824	577.7952271	163.2577824		46789231	9.955145076	11.995	34.55944338	0.167	0.054	0.153	0.138	0.294	0.419	0.414	0.704	19	0	1	19	0	1	0	1	1	0	0	9	0	0	0	0.7865837608	1	False Positive
2011	1	3	2	4	1	1	1	11									0.347	0.15	0.246	0.297	0.523	0.678	0.526	0.633	8	0	1	6	2	1	0	1	2	0	-1	4	0	0	0	0.7643786198	1	False Positive
2022	1	4	1	2	1	2	1	10									0.137	0.031	0.066	0.076	0.118	0.033	0.054	0.101	6	0	1	7	-1	2	0	1	2	0	0	2	0	0	0	0.7478588338	1	False Positive
2021	1	4	1	2	2	1	1	9									0.136	0.033	0.077	0.082	0.124	0.037	0.045	0.109	7	0	1	5	2	2	0	1	1	0	1	1	0	0	0	0.7423909409	1	False Positive
2011	1	4	2	2	1	2	1	16	7.5464712	5775.542291	5.801455371	5	32161424	72.17132822	8.193	69.12522339	0.413	0.251	0.369	0.505	0.56	0.616	0.697	0.657	3	0	1	5	-2	1	0	1	1	0	0	9	0	0	0	0.7402491655	1	False Positive
2013	1	3	2	4	2	2	1	16	6.571413897	686.5056725	4.261352509	5.5	25051611	109.3853766	3.345	31.6619154	0.437	0.301	0.68	0.609	0.525	0.734	0.79	0.672	12	0	1	8	4	1	0	1	1	0	0	4	0	0	0	0.6889878522	1	False Positive
2013	0	4	2	4	1	1	0	6	-36.3919771	364.3669626	6.98879342	2.5	4642419	38.39928757	5.566	39.30429635	0.272	0.15	0.172	0.377	0.251	0.573	0.552	0.567	12	0	1	8	4	1	0	1	1	0	0	5	0	0	0	0.6837101312	1	False Positive
2012	0	3	2	4	1		0	2	-46.08212237	1109.260501	45.52589784	1.5	10756240	71.61981139	12.803	18.03218854	0.194	0.1	0.221	0.28	0.208	0.333	0.257	0.361	8	0	1	8	0	1	0	1	1	0	0	1	0	0	0	0.6753659327	1	False Positive
2021	1	3	2	3	1	1	1	17	6.513885759	1455.319224	9.496415773		239477801	27.03042041	6.338	37.93333955	0.394	0.248	0.362	0.519	0.539	0.637	0.669	0.733	15	0	1	9	6	3	0	1	2	0	1	8	0	0	0	0.6610515665	1	False Positive
2023	1	4	2	4	1	1	1	21									0.333	0.123	0.306	0.232	0.483	0.686	0.508	0.472	20	0	1	19	1	2	0	1	2	0	0	12	0	0	0	0.654478495	1	False Positive
2022	1	4	2	4	1	1	1	20									0.336	0.15	0.328	0.311	0.448	0.669	0.553	0.469	19	0	1	18	1	2	0	1	2	0	0	11	0	0	0	0.6512619536	1	False Positive
2011	0	3	2	4				1	-4.640316736	1448.98435	46.85217572		10288109	93.22685975	12.585	17.78176781	0.194	0.1	0.223	0.285	0.218	0.32	0.261	0.394	8	0	1	6	2	1	0	1				0	0	0	0	0.647191855	1	False Positive
2021	1	4	2	4	1	1	1	19									0.342	0.14	0.302	0.27	0.463	0.704	0.534	0.509	18	0	1	19	-1	2	0	1	2	0	0	10	0	0	0	0.6430921325	1	False Positive
2020	1	3	2	4	1	1	1	10			29.67584355		10698467		14.246	20.19145655	0.169	0.069	0.113	0.191	0.268	0.157	0.233	0.318	19	0	1	19	0	1	0	1	1	0	0	8	0	0	0	0.6380384193	1	False Positive
2013	0	4	1	4	1		0	2									0.319	0.124	0.248	0.248	0.501	0.677	0.501	0.601	12	0	1	8	4	1	0	1	1	0	0	1	0	0	0	0.6372137424	1	False Positive
2020	1	4	2	4	1	1	1	18									0.347	0.152	0.339	0.304	0.5	0.702	0.562	0.614	19	0	1	19	0	2	0	1	2	0	0	9	0	0	0	0.6347233962	1	False Positive
2023	1	2	2	2	1	1	0	6																	8	0	1	6	2	1	0	1	1	0	0	5	0	0	0	0.63133798	1	False Positive
2018	1	3	2	2	1	1	1	7									0.176	0.112	0.235	0.338	0.158	0.158	0.144	0.155	7	0	1	3	4	2	0	1	2	0	0	6	0	0	0	0.6304221541	1	False Positive
2017	1	3	2	2	1	1	0	6									0.178	0.113	0.226	0.342	0.158	0.157	0.152	0.146	3	0	1	1	2	2	0	1	1	0	1	5	0	0	0	0.6290415858	1	False Positive
2022	1	3	2	3	1	1	1	18	4.778106869	1538.322813	19.87385996		243700667	33.03135348	5.291	38.37404398	0.379	0.227	0.253	0.482	0.534	0.633	0.683	0.721	15	0	1	15	0	3	0	1	3	0	0	9	0	0	0	0.6276487969	1	False Positive
2017	0	4	1	4				1									0.304	0.11	0.232	0.217	0.514	0.656	0.458	0.653	13	0	1	10	3	1	0	1	1	0	0	0	0	0	0	0.6266953181	1	False Positive
2021	1	4	2	4	1	1	1	11	0.9829199963	492.2631428	4.259364175		5112100	44.15912	6.701	42.85477829	0.343	0.176	0.311	0.378	0.286	0.696	0.584	0.641	18	0	1	19	-1	1	0	1	1	0	0	10	0	0	0	0.6202654956	1	False Positive
2023	0	3	2	1				1									0.19	0.065	0.327	0.164	0.368	0.097	0.159	0.125	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0.6174528462	1	False Positive
2023	1	4	1	2	1	1	1	11									0.145	0.044	0.1	0.119	0.123	0.079	0.07	0.097	8	0	1	6	2	2	0	1	2	0	0	3	0	0	0	0.6164008406	1	False Positive
2020	1	4	2	4	1	1	1	10	0.8999999969	462.8790713	1.710156595		5026628	49.52102	6.519	42.30507859	0.374	0.201	0.299	0.415	0.281	0.697	0.58	0.554	19	0	1	19	0	1	0	1	1	0	0	9	0	0	0	0.6116920987	1	False Positive
2023	0	3	3	2				1									0.145	0.044	0.1	0.119	0.123	0.079	0.07	0.097	8	0	1	6	2	2	0	1	2	0	0	0	0	0	0	0.6115200448	1	False Positive
